TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
San Francisco Giants",NL,50,33,3.92,158,0,0,0,50,77,705.1,670,352,307,75,35,232,703,1.28,0.249
"2
Oakland Athletics",AL,30,40,5.2,162,0,0,0,29,55,681.2,663,426,394,82,48,368,630,1.51,0.255
"3
Tampa Bay Rays",AL,44,24,3.81,162,0,0,0,45,76,658.1,549,308,279,76,46,232,657,1.19,0.223
"4
Boston Red Sox",AL,30,28,4.32,162,0,0,0,43,59,655.2,659,353,315,78,40,255,636,1.39,0.259
"4
Detroit Tigers",AL,33,27,4.16,162,0,0,0,41,63,655.2,610,332,303,82,28,224,642,1.27,0.243
"6
Cincinnati Reds",NL,48,30,4.11,162,0,0,0,53,79,652.1,577,332,298,76,43,305,617,1.35,0.236
"7
Colorado Rockies",NL,31,33,5.41,162,0,0,0,32,66,647,695,427,389,80,47,313,596,1.56,0.276
"8
Los Angeles Dodgers",NL,38,25,3.42,162,0,0,0,44,61,644.2,540,280,245,68,34,216,664,1.17,0.225
"9
Pittsburgh Pirates",NL,32,29,4.27,160,0,0,0,47,68,626.1,571,329,297,71,34,259,638,1.33,0.242
"10
Kansas City Royals",AL,25,38,5.23,159,0,0,0,28,53,623.1,624,392,362,85,38,302,634,1.49,0.259
"11
New York Yankees",AL,35,30,3.34,159,0,0,0,44,63,619,505,262,230,59,44,256,625,1.23,0.221
"12
Miami Marlins",NL,45,27,4.37,159,0,0,0,43,74,617.1,589,328,300,76,36,246,665,1.35,0.25
"13
Los Angeles Angels",AL,31,37,4.88,161,0,0,0,43,72,601.2,615,376,326,88,41,290,596,1.5,0.261
"14
Washington Nationals",NL,34,29,5.02,162,0,0,0,42,69,599,612,354,334,94,33,247,523,1.43,0.267
"15
Arizona Diamondbacks",NL,38,27,4.22,161,0,0,0,44,71,595,535,303,279,79,27,237,586,1.3,0.238
"16
Chicago White Sox",AL,24,38,4.88,160,0,0,0,28,57,591.2,562,358,321,79,40,283,597,1.43,0.247
"17
Atlanta Braves",NL,38,22,3.81,161,0,0,0,52,78,588,526,279,249,75,24,211,642,1.25,0.237
"18
Cleveland Guardians",AL,37,34,3.79,161,0,0,0,47,81,586.2,532,289,247,67,20,232,588,1.3,0.24
"19
Chicago Cubs",NL,27,31,3.85,161,0,0,0,35,57,584,481,267,250,64,33,272,641,1.29,0.225
"20
St. Louis Cardinals",NL,28,27,4.47,162,0,0,0,36,64,579.2,573,318,288,65,27,241,562,1.4,0.257
"21
San Diego Padres",NL,22,30,3.8,162,0,0,0,36,64,577.1,501,276,244,65,44,242,575,1.29,0.233
"22
Baltimore Orioles",AL,44,21,3.55,162,0,0,0,49,80,575.1,513,261,227,52,30,212,614,1.26,0.236
"23
Milwaukee Brewers",NL,38,25,3.4,161,0,0,0,46,71,565.2,467,238,214,64,32,220,579,1.21,0.223
"24
Texas Rangers",AL,31,34,4.77,159,0,0,0,30,63,564.1,517,316,299,85,25,202,557,1.27,0.242
"25
New York Mets",NL,26,36,4.45,161,0,0,0,34,52,558.1,494,301,276,74,55,249,571,1.33,0.236
"26
Toronto Blue Jays",AL,33,24,3.68,161,0,0,0,51,69,557,488,253,228,71,23,195,606,1.23,0.234
"27
Minnesota Twins",AL,38,30,3.95,160,0,0,0,38,66,556.1,478,267,244,71,30,220,590,1.25,0.231
"28
Seattle Mariners",AL,32,28,3.48,160,0,0,0,44,64,548,478,244,212,60,30,211,603,1.26,0.232
"29
Houston Astros",AL,29,22,3.56,160,0,0,0,42,61,545.1,465,246,216,71,35,225,608,1.27,0.23
"30
Philadelphia Phillies",NL,37,27,3.58,161,0,0,0,45,71,543.1,474,254,216,61,25,217,590,1.27,0.232
