TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Cleveland Indians",AL,23,17,3.17,60,60,1,0,0,0,349.2,286,125,123,50,9,94,401,1.09,0.222
"2
Chicago Cubs",NL,25,20,3.77,60,60,2,2,0,0,325,292,138,136,45,9,82,294,1.15,0.238
"3
Colorado Rockies",NL,14,23,4.83,60,60,1,0,0,0,320.1,328,184,172,45,17,112,216,1.37,0.264
"4
Houston Astros",AL,19,15,4.26,60,60,0,0,0,0,312.2,268,157,148,45,17,99,301,1.17,0.231
"5
Cincinnati Reds",NL,18,22,3.5,60,60,3,2,0,0,311.1,249,136,121,34,16,120,381,1.19,0.215
"6
Philadelphia Phillies",NL,19,18,4.08,60,60,3,2,0,0,311,304,152,141,38,15,98,329,1.29,0.256
"7
Oakland Athletics",AL,22,19,4.49,60,60,1,1,0,0,307,312,163,153,46,12,88,283,1.3,0.26
"8
Seattle Mariners",AL,21,20,4.41,60,60,1,0,0,0,304,271,157,149,39,14,110,273,1.25,0.236
"9
Washington Nationals",NL,15,27,5.38,60,60,2,0,0,0,298,351,186,178,62,12,105,283,1.53,0.287
"10
New York Yankees",AL,18,17,4.24,60,60,2,1,0,0,295.1,272,154,139,51,12,75,315,1.17,0.239
"11
Arizona Diamondbacks",NL,10,25,5.04,60,60,0,0,0,0,291.1,290,170,163,59,12,119,299,1.4,0.255
"12
Milwaukee Brewers",NL,14,23,4.18,60,60,1,0,0,0,288.2,263,146,134,33,20,92,310,1.23,0.239
"13
Chicago White Sox",AL,18,15,3.85,60,60,1,1,0,0,287.2,241,136,123,43,10,124,276,1.27,0.225
"14
Texas Rangers",AL,10,28,5.32,60,60,2,1,0,0,287.1,278,183,170,49,15,123,257,1.4,0.25
"15
San Diego Padres",NL,18,15,3.46,60,60,1,1,0,0,286,245,120,110,38,9,78,304,1.13,0.229
"16
Pittsburgh Pirates",NL,10,25,4.74,60,60,1,0,0,0,283,246,159,149,53,19,133,276,1.34,0.236
"17
Minnesota Twins",AL,22,12,3.54,60,60,0,0,0,0,282.1,235,111,111,30,12,90,269,1.15,0.225
"18
San Francisco Giants",NL,11,17,4.99,60,60,1,0,0,0,279.2,265,168,155,35,17,106,274,1.33,0.246
"18
St. Louis Cardinals",NL,17,17,3.86,58,58,2,0,0,0,279.2,228,132,120,41,14,107,258,1.2,0.22
"20
New York Mets",NL,13,22,5.37,60,60,0,0,0,0,278.1,302,176,166,47,12,87,312,1.4,0.273
"21
Los Angeles Dodgers",NL,17,6,3.29,60,60,0,0,0,0,276.1,225,116,101,42,5,70,259,1.07,0.219
"22
Kansas City Royals",AL,14,26,4.7,60,60,1,1,0,0,275.2,276,157,144,47,12,104,242,1.38,0.26
"23
Miami Marlins",NL,15,19,4.31,60,60,1,0,0,0,273.1,267,152,131,40,12,108,264,1.37,0.254
"24
Los Angeles Angels",AL,13,22,5.52,60,60,1,0,0,0,270.2,271,179,166,46,12,106,261,1.39,0.257
"25
Baltimore Orioles",AL,12,22,5.09,60,60,0,0,0,0,267,278,168,151,53,14,83,240,1.35,0.264
"26
Tampa Bay Rays",AL,15,9,3.77,60,60,0,0,0,0,258,241,113,108,44,12,81,289,1.25,0.243
"27
Toronto Blue Jays",AL,10,10,4.55,60,60,0,0,0,0,255.1,261,147,129,46,5,106,247,1.44,0.261
"28
Atlanta Braves",NL,14,16,5.51,60,60,0,0,0,0,251.2,252,170,154,39,17,113,224,1.45,0.258
"29
Boston Red Sox",AL,13,22,5.34,60,60,0,0,0,0,246,270,153,146,49,17,113,229,1.56,0.279
"30
Detroit Tigers",AL,9,22,6.37,58,58,1,0,0,0,237.1,262,175,168,48,15,103,212,1.54,0.278
