TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Boston Red Sox",AL,11,14,5.79,60,0,0,0,14,27,278,317,198,179,49,14,139,308,1.64,0.282
"2
Atlanta Braves",NL,21,9,3.5,60,0,0,0,13,19,272.2,242,118,106,30,16,107,282,1.28,0.236
"3
Tampa Bay Rays",AL,25,11,3.37,60,0,0,0,23,31,269.2,234,116,101,26,17,87,263,1.19,0.233
"4
Toronto Blue Jays",AL,22,18,4.71,60,0,0,0,17,29,269.1,256,165,141,35,9,144,272,1.49,0.249
"5
Los Angeles Dodgers",NL,26,11,2.74,60,0,0,0,15,25,262.1,199,97,80,24,16,75,258,1.04,0.207
"6
Detroit Tigers",AL,14,13,4.94,57,0,0,0,11,19,255,249,143,140,43,19,89,232,1.33,0.253
"7
Los Angeles Angels",AL,13,12,4.63,59,0,0,0,12,26,254.2,221,142,131,36,9,93,262,1.23,0.231
"8
Baltimore Orioles",AL,13,13,3.9,60,0,0,0,11,18,251.2,211,126,109,26,20,109,247,1.27,0.225
"9
Kansas City Royals",AL,12,8,3.84,59,0,0,0,19,20,241.1,224,115,103,29,17,107,275,1.37,0.246
"10
Chicago White Sox",AL,17,10,3.76,59,0,0,0,13,25,239.1,207,110,100,28,13,93,247,1.25,0.228
"11
San Francisco Giants",NL,18,14,4.24,59,0,0,0,13,24,238,209,129,112,34,17,104,214,1.32,0.235
"12
New York Mets",NL,13,12,4.6,60,0,0,0,11,18,235,209,132,120,34,17,132,262,1.45,0.234
"13
San Diego Padres",NL,19,8,4.38,59,0,0,0,13,24,234.1,211,121,114,32,13,92,261,1.29,0.239
"14
Minnesota Twins",AL,14,12,3.62,60,0,0,0,17,27,231,213,104,93,32,9,80,266,1.27,0.242
"15
Miami Marlins",NL,16,10,5.5,59,0,0,0,18,23,230.2,239,152,141,42,14,118,187,1.55,0.269
"16
Pittsburgh Pirates",NL,9,16,4.62,59,0,0,0,6,19,230,205,139,118,27,18,116,260,1.4,0.235
"17
Texas Rangers",AL,12,10,4.63,58,0,0,0,10,19,229.1,201,129,118,32,15,113,232,1.37,0.232
"18
Milwaukee Brewers",NL,15,8,4.17,59,0,0,0,14,22,228.2,183,118,106,34,15,97,304,1.22,0.216
"19
Arizona Diamondbacks",NL,15,10,4.6,60,0,0,0,13,22,227,216,125,116,34,11,116,225,1.46,0.25
"20
Seattle Mariners",AL,6,13,5.92,59,0,0,0,15,24,212.2,211,146,140,40,23,120,196,1.56,0.258
"21
Houston Astros",AL,10,16,4.39,60,0,0,0,16,29,211.1,204,118,103,25,12,118,225,1.52,0.251
"22
Oakland Athletics",AL,14,5,2.72,59,0,0,0,17,21,208.1,159,69,63,23,3,77,223,1.13,0.208
"23
Colorado Rockies",NL,12,11,6.77,59,0,0,0,16,24,206,251,169,155,38,23,93,177,1.67,0.305
"24
Washington Nationals",NL,11,7,4.68,58,0,0,0,12,22,205.2,197,115,107,32,10,111,225,1.5,0.246
"25
New York Yankees",AL,15,10,4.51,58,0,0,0,14,23,205.1,183,116,103,32,13,93,213,1.34,0.232
"26
Chicago Cubs",NL,9,6,4.38,58,0,0,0,16,21,193.1,159,102,94,29,8,100,229,1.34,0.224
"26
St. Louis Cardinals",NL,13,11,4,56,0,0,0,13,18,193.1,148,97,86,28,12,97,206,1.27,0.211
"28
Cincinnati Reds",NL,13,7,4.53,57,0,0,0,9,16,192.2,152,107,97,33,13,93,234,1.27,0.215
"29
Cleveland Indians",AL,12,8,3.53,59,0,0,0,20,28,186.1,154,84,73,18,18,63,220,1.16,0.226
"30
Philadelphia Phillies",NL,9,14,7.06,57,0,0,0,11,24,186,246,159,146,42,13,87,203,1.79,0.315
