TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Oakland Athletics",AL,57,52,3.91,162,162,3,3,0,0,894,864,412,388,118,42,248,862,1.24,0.25
"2
Houston Astros",AL,63,36,3.63,162,162,2,0,0,0,881.2,747,370,356,113,33,298,835,1.19,0.227
"3
Cincinnati Reds",NL,55,53,4.03,162,162,1,1,0,0,864,823,414,387,114,37,335,860,1.34,0.25
"4
Chicago White Sox",AL,61,40,3.57,162,162,4,3,0,0,855.1,728,371,339,112,29,275,944,1.17,0.227
"5
Milwaukee Brewers",NL,51,43,3.13,162,162,2,1,0,0,847.2,661,327,295,77,39,266,906,1.09,0.213
"6
Los Angeles Dodgers",NL,65,28,2.93,162,162,1,0,0,0,843.1,651,297,275,101,23,217,947,1.03,0.209
"7
Philadelphia Phillies",NL,40,52,4.25,162,162,5,4,0,0,843,773,413,398,111,39,254,879,1.22,0.241
"8
Atlanta Braves",NL,57,40,3.84,161,161,2,2,0,0,837,713,381,357,113,44,284,843,1.19,0.229
"9
Toronto Blue Jays",AL,61,40,3.79,162,162,1,1,0,0,836.1,766,376,352,127,40,238,873,1.2,0.239
"10
St. Louis Cardinals",NL,54,47,4.01,162,162,3,1,0,0,832.2,760,399,371,101,49,313,650,1.29,0.241
"11
Colorado Rockies",NL,42,57,4.77,161,161,3,1,0,0,832,860,466,441,118,36,272,718,1.36,0.266
"12
San Francisco Giants",NL,58,33,3.44,162,162,2,2,0,0,831.1,741,339,318,85,39,227,845,1.16,0.236
"13
New York Yankees",AL,44,40,3.91,162,162,3,2,0,0,829.1,738,388,360,123,29,266,894,1.21,0.235
"14
Washington Nationals",NL,42,55,4.64,162,162,1,0,0,0,827.2,812,458,427,156,33,284,781,1.32,0.257
"15
Seattle Mariners",AL,45,45,4.61,162,162,1,0,0,0,821.2,817,444,421,133,32,270,705,1.32,0.257
"16
Cleveland Indians",AL,48,52,4.84,162,162,0,0,0,0,820,766,465,441,139,34,278,749,1.27,0.245
"17
Arizona Diamondbacks",NL,30,69,5.2,162,162,3,3,0,0,817,823,495,472,142,39,301,721,1.38,0.26
"18
Boston Red Sox",AL,50,47,4.49,162,162,0,0,0,0,812,850,436,405,106,38,261,852,1.37,0.267
"19
Texas Rangers",AL,33,71,5.33,162,162,0,0,0,0,798.2,824,491,473,154,39,264,649,1.36,0.267
"20
Kansas City Royals",AL,41,63,4.97,162,162,1,0,0,0,796.1,836,474,440,114,39,316,728,1.45,0.269
"21
Minnesota Twins",AL,39,58,5.18,162,162,1,0,0,0,795.2,824,493,458,147,35,236,685,1.33,0.264
"22
New York Mets",NL,32,57,3.89,162,162,2,1,0,0,783.2,692,376,339,114,31,230,795,1.18,0.236
"23
Chicago Cubs",NL,41,60,5.27,162,162,1,0,0,0,781.2,854,487,458,146,43,284,643,1.46,0.278
"24
Detroit Tigers",AL,35,57,4.17,162,162,2,1,0,0,781.1,754,399,362,116,43,259,626,1.3,0.251
"25
Miami Marlins",NL,32,61,4.08,162,162,1,0,0,0,779.1,713,391,353,104,45,294,788,1.29,0.242
"26
Los Angeles Angels",AL,40,56,4.78,162,162,1,0,0,0,776.1,760,443,412,111,38,302,790,1.37,0.253
"27
Pittsburgh Pirates",NL,28,73,5.53,162,162,0,0,0,0,753.2,816,482,463,129,40,299,671,1.48,0.276
"28
Tampa Bay Rays",AL,42,30,4.08,162,162,1,0,0,0,752.2,680,357,341,106,21,216,739,1.19,0.239
"29
San Diego Padres",NL,36,52,4.54,162,162,2,2,0,0,741.2,684,391,374,116,37,253,802,1.26,0.243
"30
Baltimore Orioles",AL,24,76,5.99,162,162,1,1,0,0,735.1,841,506,489,149,35,267,597,1.51,0.285
